ID,Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
411,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Oxygen,Hydrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
412,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$65,$70,A,"25% of 80 is 20, so 80 - 20 = 60."
413,Word Knowledge (WK),'Conceal' means to:,Display,Hide,Reveal,Show,B,To conceal is to hide something.
414,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,C is wrong,B is true,A is false,A,The passage directly supports D.
415,Mathematics Knowledge (MK),What is the square root of 81?,7,8,9,10,C,9 × 9 = 81.
416,General Science (GS),What planet is known as the Red Planet?,Venus,Mars,Jupiter,Earth,B,Mars is often called the Red Planet due to its reddish appearance.
417,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,45 mph,60 mph,50 mph,B,60 ÷ 1.5 = 40 mph.
418,Word Knowledge (WK),'Conceal' means to:,Display,Reveal,Hide,Show,C,To conceal is to hide something.
419,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,B is true,A is false,C is wrong,A,The passage directly supports D.
420,Mathematics Knowledge (MK),What is the square root of 81?,8,7,9,10,C,9 × 9 = 81.
421,General Science (GS),What planet is known as the Red Planet?,Venus,Mars,Jupiter,Earth,B,Mars is often called the Red Planet due to its reddish appearance.
422,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$75,$70,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
423,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Display,Show,A,To conceal is to hide something.
424,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The author disagrees,The event happened,D,Inference: it happened.
425,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,4,5,3,B,"2x = 6, x = 3."
426,General Science (GS),What planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,C,Mars is often called the Red Planet due to its reddish appearance.
427,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$65,$70,A,"25% of 80 is 20, so 80 - 20 = 60."
428,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Bright,Dull,Colorful,C,"'Vivid' means bright or intense, opposite is dull."
429,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
430,Mathematics Knowledge (MK),What is 15% of 200?,25,35,20,30,D,15% of 200 = 0.15 × 200 = 30.
431,General Science (GS),What planet is known as the Red Planet?,Mars,Venus,Earth,Jupiter,A,Mars is often called the Red Planet due to its reddish appearance.
432,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,60 mph,40 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
433,Word Knowledge (WK),'Conceal' means to:,Show,Display,Reveal,Hide,D,To conceal is to hide something.
434,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Entertain,Inform,D,The text provides facts and information.
435,Mathematics Knowledge (MK),What is 15% of 200?,30,20,35,25,A,15% of 200 = 0.15 × 200 = 30.
436,General Science (GS),What is the basic unit of life?,Atom,Cell,Organ,Tissue,B,The cell is the basic structural and functional unit of all organisms.
437,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,20 mpg,30 mpg,25 mpg,C,375 ÷ 15 = 25 mpg.
438,Word Knowledge (WK),'Conceal' means to:,Hide,Display,Reveal,Show,A,To conceal is to hide something.
439,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Persuade,Confuse,Inform,D,The text provides facts and information.
440,Mathematics Knowledge (MK),What is the square root of 81?,7,9,8,10,B,9 × 9 = 81.
441,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Nitrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
442,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$75,$70,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
443,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Angry,Tired,Sad,A,'Elated' means extremely happy or joyful.
444,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,None of the above,It’s raining,A,Inference: it happened.
445,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,4,2,3,B,"2x = 6, x = 3."
446,General Science (GS),What planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,B,Mars is often called the Red Planet due to its reddish appearance.
447,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,40 mph,60 mph,50 mph,A,60 ÷ 1.5 = 40 mph.
448,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Bright,Dull,Clear,C,"'Vivid' means bright or intense, opposite is dull."
449,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,It’s raining,The event happened,None of the above,C,Inference: it happened.
450,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,3,5,2,A,"2x = 6, x = 3."
451,General Science (GS),What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the basic structural and functional unit of all organisms.
452,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,45 mph,60 mph,C,60 ÷ 1.5 = 40 mph.
453,Word Knowledge (WK),'Conceal' means to:,Reveal,Show,Hide,Display,C,To conceal is to hide something.
454,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,A is false,C is wrong,D is accurate,D,The passage directly supports D.
455,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,3,2,5,A,"2x = 6, x = 3."
456,General Science (GS),What is the basic unit of life?,Atom,Tissue,Cell,Organ,C,The cell is the basic structural and functional unit of all organisms.
457,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$60,$75,$70,B,"25% of 80 is 20, so 80 - 20 = 60."
458,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Sad,Angry,Joyful,D,'Elated' means extremely happy or joyful.
459,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The author disagrees,It’s raining,The event happened,D,Inference: it happened.
460,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,5,4,2,C,"2x = 6, x = 3."
461,General Science (GS),What is the basic unit of life?,Organ,Cell,Atom,Tissue,B,The cell is the basic structural and functional unit of all organisms.
462,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,35 mpg,25 mpg,20 mpg,A,375 ÷ 15 = 25 mpg.
463,Word Knowledge (WK),'Conceal' means to:,Reveal,Hide,Display,Show,B,To conceal is to hide something.
464,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,C is wrong,B is true,D is accurate,D,The passage directly supports D.
465,Mathematics Knowledge (MK),What is the square root of 81?,10,9,8,7,B,9 × 9 = 81.
466,General Science (GS),What is the basic unit of life?,Tissue,Atom,Organ,Cell,D,The cell is the basic structural and functional unit of all organisms.
467,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,60 mph,45 mph,50 mph,C,60 ÷ 1.5 = 40 mph.
468,Word Knowledge (WK),'Conceal' means to:,Reveal,Display,Hide,Show,C,To conceal is to hide something.
469,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,A is false,B is true,D is accurate,D,The passage directly supports D.
470,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,2,5,4,D,"2x = 6, x = 3."
471,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide during photosynthesis.
472,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,50 mph,45 mph,40 mph,C,60 ÷ 1.5 = 40 mph.
473,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Angry,Tired,Sad,A,'Elated' means extremely happy or joyful.
474,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Inform,Entertain,Confuse,B,The text provides facts and information.
475,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,3,2,5,A,"2x = 6, x = 3."
476,General Science (GS),What planet is known as the Red Planet?,Jupiter,Earth,Venus,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
477,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$75,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
478,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Show,Display,A,To conceal is to hide something.
479,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,C is wrong,A is false,D is accurate,D,The passage directly supports D.
480,Mathematics Knowledge (MK),What is 15% of 200?,25,35,30,20,C,15% of 200 = 0.15 × 200 = 30.
481,General Science (GS),What is the basic unit of life?,Atom,Organ,Cell,Tissue,C,The cell is the basic structural and functional unit of all organisms.
482,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$70,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
483,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Sad,Joyful,Tired,C,'Elated' means extremely happy or joyful.
484,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Inform,Entertain,Confuse,B,The text provides facts and information.
485,Mathematics Knowledge (MK),What is the square root of 81?,8,10,7,9,D,9 × 9 = 81.
486,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
487,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,50 mph,40 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
488,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Angry,Joyful,Sad,C,'Elated' means extremely happy or joyful.
489,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Inform,Entertain,Confuse,B,The text provides facts and information.
490,Mathematics Knowledge (MK),What is the square root of 81?,9,7,10,8,A,9 × 9 = 81.
491,General Science (GS),What is the basic unit of life?,Cell,Atom,Tissue,Organ,A,The cell is the basic structural and functional unit of all organisms.
492,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,40 mph,45 mph,50 mph,C,60 ÷ 1.5 = 40 mph.
493,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Sad,Tired,Angry,A,'Elated' means extremely happy or joyful.
494,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,D is accurate,A is false,B is true,B,The passage directly supports D.
495,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,2,3,A,"2x = 6, x = 3."
496,General Science (GS),What planet is known as the Red Planet?,Earth,Jupiter,Venus,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
497,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$70,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
498,Word Knowledge (WK),'Conceal' means to:,Display,Show,Hide,Reveal,C,To conceal is to hide something.
499,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Confuse,Inform,Entertain,C,The text provides facts and information.
500,Mathematics Knowledge (MK),What is 15% of 200?,30,25,20,35,A,15% of 200 = 0.15 × 200 = 30.
501,General Science (GS),What planet is known as the Red Planet?,Jupiter,Venus,Earth,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
502,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$65,$75,$70,A,"25% of 80 is 20, so 80 - 20 = 60."
503,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Colorful,Dull,Clear,C,"'Vivid' means bright or intense, opposite is dull."
504,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
505,Mathematics Knowledge (MK),What is 15% of 200?,25,35,30,20,C,15% of 200 = 0.15 × 200 = 30.
506,General Science (GS),What planet is known as the Red Planet?,Mars,Earth,Jupiter,Venus,A,Mars is often called the Red Planet due to its reddish appearance.
507,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,40 mph,60 mph,50 mph,A,60 ÷ 1.5 = 40 mph.
508,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Colorful,Dull,Bright,C,"'Vivid' means bright or intense, opposite is dull."
509,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,It’s raining,None of the above,A,Inference: it happened.
510,Mathematics Knowledge (MK),What is the square root of 81?,9,8,10,7,A,9 × 9 = 81.
511,General Science (GS),What planet is known as the Red Planet?,Jupiter,Venus,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
512,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$65,$60,$75,C,"25% of 80 is 20, so 80 - 20 = 60."
513,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Bright,Dull,Clear,C,"'Vivid' means bright or intense, opposite is dull."
514,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The event happened,The author disagrees,C,Inference: it happened.
515,Mathematics Knowledge (MK),What is the square root of 81?,8,9,10,7,B,9 × 9 = 81.
516,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Hydrogen,Nitrogen,Oxygen,A,Plants absorb carbon dioxide during photosynthesis.
517,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,20 mpg,25 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
518,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Clear,Colorful,Dull,D,"'Vivid' means bright or intense, opposite is dull."
519,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The author disagrees,The event happened,None of the above,C,Inference: it happened.
520,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,5,4,2,C,"2x = 6, x = 3."
521,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Nitrogen,Carbon Dioxide,Oxygen,C,Plants absorb carbon dioxide during photosynthesis.
522,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,60 mph,50 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
523,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Reveal,Display,B,To conceal is to hide something.
524,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Inform,Persuade,Entertain,B,The text provides facts and information.
525,Mathematics Knowledge (MK),What is the square root of 81?,7,8,9,10,C,9 × 9 = 81.
526,General Science (GS),What is the basic unit of life?,Organ,Cell,Tissue,Atom,B,The cell is the basic structural and functional unit of all organisms.
527,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$65,$70,A,"25% of 80 is 20, so 80 - 20 = 60."
528,Word Knowledge (WK),'Conceal' means to:,Reveal,Display,Hide,Show,C,To conceal is to hide something.
529,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Entertain,Inform,Confuse,C,The text provides facts and information.
530,Mathematics Knowledge (MK),What is the square root of 81?,7,8,9,10,C,9 × 9 = 81.
531,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
532,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,25 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
533,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Joyful,Tired,Sad,B,'Elated' means extremely happy or joyful.
534,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Entertain,Inform,D,The text provides facts and information.
535,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,2,3,A,"2x = 6, x = 3."
536,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen,A,Plants absorb carbon dioxide during photosynthesis.
537,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,20 mpg,25 mpg,35 mpg,A,375 ÷ 15 = 25 mpg.
538,Word Knowledge (WK),'Conceal' means to:,Reveal,Display,Hide,Show,C,To conceal is to hide something.
539,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,A is false,D is accurate,B is true,C,The passage directly supports D.
540,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,5,4,2,C,"2x = 6, x = 3."
541,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,B,Plants absorb carbon dioxide during photosynthesis.
542,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,45 mph,60 mph,40 mph,B,60 ÷ 1.5 = 40 mph.
543,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Clear,Colorful,Bright,A,"'Vivid' means bright or intense, opposite is dull."
544,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,It’s raining,None of the above,A,Inference: it happened.
545,Mathematics Knowledge (MK),What is 15% of 200?,20,25,35,30,D,15% of 200 = 0.15 × 200 = 30.
546,General Science (GS),What is the basic unit of life?,Tissue,Organ,Cell,Atom,C,The cell is the basic structural and functional unit of all organisms.
547,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$70,$65,$75,A,"25% of 80 is 20, so 80 - 20 = 60."
548,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Display,Show,A,To conceal is to hide something.
549,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
550,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,2,4,3,C,"2x = 6, x = 3."
551,General Science (GS),What planet is known as the Red Planet?,Mars,Venus,Jupiter,Earth,A,Mars is often called the Red Planet due to its reddish appearance.
552,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$70,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
553,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Joyful,Sad,Tired,B,'Elated' means extremely happy or joyful.
554,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,None of the above,It’s raining,A,Inference: it happened.
555,Mathematics Knowledge (MK),What is 15% of 200?,20,30,25,35,B,15% of 200 = 0.15 × 200 = 30.
556,General Science (GS),What planet is known as the Red Planet?,Jupiter,Venus,Earth,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
557,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,40 mph,50 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
558,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Tired,Sad,Angry,A,'Elated' means extremely happy or joyful.
559,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Confuse,Inform,Persuade,C,The text provides facts and information.
560,Mathematics Knowledge (MK),What is the square root of 81?,9,10,8,7,A,9 × 9 = 81.
561,General Science (GS),What is the basic unit of life?,Atom,Organ,Tissue,Cell,D,The cell is the basic structural and functional unit of all organisms.
562,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,25 mpg,35 mpg,20 mpg,A,375 ÷ 15 = 25 mpg.
563,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Clear,Bright,B,"'Vivid' means bright or intense, opposite is dull."
564,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,The event happened,None of the above,It’s raining,B,Inference: it happened.
565,Mathematics Knowledge (MK),What is the square root of 81?,8,7,9,10,C,9 × 9 = 81.
566,General Science (GS),What planet is known as the Red Planet?,Jupiter,Venus,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
567,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$75,$70,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
568,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Colorful,Clear,B,"'Vivid' means bright or intense, opposite is dull."
569,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Confuse,Inform,Persuade,C,The text provides facts and information.
570,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,3,4,2,C,"2x = 6, x = 3."
571,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen,A,Plants absorb carbon dioxide during photosynthesis.
572,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,20 mpg,35 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
573,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Angry,Joyful,Sad,C,'Elated' means extremely happy or joyful.
574,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The event happened,The author disagrees,It’s raining,B,Inference: it happened.
575,Mathematics Knowledge (MK),What is the square root of 81?,9,8,7,10,A,9 × 9 = 81.
576,General Science (GS),What planet is known as the Red Planet?,Earth,Jupiter,Venus,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
577,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$65,$60,$70,C,"25% of 80 is 20, so 80 - 20 = 60."
578,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Dull,Bright,Colorful,B,"'Vivid' means bright or intense, opposite is dull."
579,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Entertain,Persuade,Inform,D,The text provides facts and information.
580,Mathematics Knowledge (MK),What is the square root of 81?,10,7,9,8,C,9 × 9 = 81.
581,General Science (GS),What is the basic unit of life?,Atom,Tissue,Organ,Cell,D,The cell is the basic structural and functional unit of all organisms.
582,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,35 mpg,20 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
583,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Tired,Sad,Angry,A,'Elated' means extremely happy or joyful.
584,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,It’s raining,The author disagrees,The event happened,D,Inference: it happened.
585,Mathematics Knowledge (MK),What is 15% of 200?,30,35,25,20,A,15% of 200 = 0.15 × 200 = 30.
586,General Science (GS),What planet is known as the Red Planet?,Earth,Venus,Jupiter,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
587,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,20 mpg,30 mpg,25 mpg,C,375 ÷ 15 = 25 mpg.
588,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Display,Show,A,To conceal is to hide something.
589,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,C is wrong,D is accurate,B is true,C,The passage directly supports D.
590,Mathematics Knowledge (MK),What is 15% of 200?,30,35,25,20,A,15% of 200 = 0.15 × 200 = 30.
591,General Science (GS),What planet is known as the Red Planet?,Jupiter,Venus,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
592,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$60,$65,$75,B,"25% of 80 is 20, so 80 - 20 = 60."
593,Word Knowledge (WK),'Conceal' means to:,Hide,Display,Show,Reveal,A,To conceal is to hide something.
594,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,It’s raining,The event happened,None of the above,C,Inference: it happened.
595,Mathematics Knowledge (MK),What is the square root of 81?,10,8,9,7,C,9 × 9 = 81.
596,General Science (GS),What is the basic unit of life?,Tissue,Organ,Atom,Cell,D,The cell is the basic structural and functional unit of all organisms.
597,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,60 mph,50 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
598,Word Knowledge (WK),'Conceal' means to:,Reveal,Show,Display,Hide,D,To conceal is to hide something.
599,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Entertain,Persuade,Confuse,A,The text provides facts and information.
600,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,4,5,3,B,"2x = 6, x = 3."
601,General Science (GS),What is the basic unit of life?,Cell,Atom,Tissue,Organ,A,The cell is the basic structural and functional unit of all organisms.
602,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$70,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
603,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Colorful,Dull,Bright,C,"'Vivid' means bright or intense, opposite is dull."
604,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,C is wrong,B is true,D is accurate,D,The passage directly supports D.
605,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,2,5,3,A,"2x = 6, x = 3."
606,General Science (GS),What is the basic unit of life?,Cell,Organ,Tissue,Atom,A,The cell is the basic structural and functional unit of all organisms.
607,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,50 mph,60 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
608,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Colorful,Clear,Dull,D,"'Vivid' means bright or intense, opposite is dull."
609,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,It’s raining,None of the above,The event happened,D,Inference: it happened.
610,Mathematics Knowledge (MK),What is 15% of 200?,35,20,30,25,C,15% of 200 = 0.15 × 200 = 30.
611,General Science (GS),What is the basic unit of life?,Cell,Organ,Atom,Tissue,A,The cell is the basic structural and functional unit of all organisms.
612,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,45 mph,60 mph,50 mph,B,60 ÷ 1.5 = 40 mph.
613,Word Knowledge (WK),'Conceal' means to:,Hide,Display,Reveal,Show,A,To conceal is to hide something.
614,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,It’s raining,The event happened,The author disagrees,C,Inference: it happened.
615,Mathematics Knowledge (MK),What is the square root of 81?,8,7,9,10,C,9 × 9 = 81.
616,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Carbon Dioxide,Nitrogen,C,Plants absorb carbon dioxide during photosynthesis.
617,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,40 mph,50 mph,60 mph,A,60 ÷ 1.5 = 40 mph.
618,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Bright,Clear,B,"'Vivid' means bright or intense, opposite is dull."
619,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Entertain,Persuade,Confuse,A,The text provides facts and information.
620,Mathematics Knowledge (MK),What is 15% of 200?,25,20,35,30,D,15% of 200 = 0.15 × 200 = 30.
